
61,-104,24575

67,-108,18

65,-111,16386

64,-126,-24579

63,-125,-16386

59,-130,32767

59,-129,-24578

61,-128,-16389

58,-129,32766

59,-129,-8198

61,-128,-4

58,-131,-24577

59,-131,-24578

59,-127,32766

58,-130,-5

61,-131,32765

57,-129,-24579

58,-127,-16386

61,-127,24574

60,-129,-16387

61,-131,-8196

61,-129,-24578

60,-129,-16385

59,-129,-8196

63,-130,-24578

60,-131,32765

59,-127,32767

59,-129,-16386

62,-130,-24577

59,-131,-24577

61,-130,24576

60,-129,-16387

61,-130,-24580

59,-129,-8195

59,-130,-24578

60,-128,-24580

56,-131,32765

59,-130,-5

58,-128,-16385

61,-132,-6

59,-130,-6

62,-130,-16386

57,-128,-24578

60,-131,-24579

58,-129,-24578

60,-130,-16388

64,-128,-24577

57,-130,-8195

59,-132,-8196

61,-133,-24577

64,-132,-24578

67,-126,32765

67,-126,16384

65,-128,24575

63,-127,-16387

64,-127,-24576

64,-128,32767

63,-128,32766

66,-126,-24578

64,-128,24575

66,-126,-16388

65,-126,32766

61,-124,24575

62,-126,-24577

60,-125,-16386

63,-127,-16387

61,-124,-24581

69,-127,-24576

65,-125,32766

67,-125,-24577

63,-125,32768

62,-127,24575

62,-126,-5

64,-126,-24578

65,-126,-16386

60,-127,-8194

62,-126,-8195

68,-127,-16386

66,-126,-8195

63,-125,-8195

67,-126,-16385

66,-124,-8199

66,-124,32767

66,-124,-16385

64,-122,-16385

63,-127,32766

65,-128,32765

66,-128,-8197

65,-123,-16387

66,-130,-4

63,-126,-8195

67,-126,-16385

62,-127,-8195

61,-126,-16386

66,-129,-16385

66,-126,32765

67,-127,-16386

63,-129,-8194

66,-129,16386

67,-128,32766
