
  -32768,2307,13883


  -32767,-7989,-7918


  -32768,631,15162


  -32767,-3673,-7916


  -32768,7534,19960


  6156,-7039,6873


  -11074,-6374,-615


  -32768,705,15089


  -32767,-6181,-4409


  -32768,916,20883


  14726,-3747,4373


  -32767,-6727,-13253


  -32768,9419,29325


  -32767,-8266,-13522


  -32768,1529,26171


  7277,79,4184


  -16697,-4115,-1269


  -32768,3871,17446


  -32767,-1526,-7797


  -32768,9372,26886


  -6449,-1871,4528


  10719,-4414,9715


  -32768,2591,12033


  -32767,-1795,-2975


  -32768,8827,21695


  -28432,-6618,594


  19634,-7853,9399


  -32768,211,21077


  -25954,-4695,295


  -30160,-8210,116


  -32768,-4143,21198


  -32768,2521,24488


  -27675,-2708,3481


  31742,-876,16871


  25937,358,15958


  -18601,-11602,2967


  -32768,7817,17627


  -17855,-5230,2598


  -17985,-9801,5009


  -32768,7451,24318


  4310,-2693,8968


  -32767,-11182,-7057


  27593,-2025,16866


  -32768,7567,25806


  17439,-4454,10819


  -32767,-17007,-5510


  -7415,-6990,8098


  -32768,-1093,14848


  -32768,1445,15578


  -32767,-12950,1172


  30979,3832,17774


  -32768,4903,9632


  -32767,-16438,2137


  -32768,6377,24607


  -18503,-10673,7559


  -32767,-12200,4780


  -32768,11065,23047


  -14149,-7099,4393


  -23422,-13250,4330


  -32768,5055,31452


  13326,-5317,8757


  -32767,-16645,409


  15128,-10056,17792


  -32768,10292,22916


  -1929,-6678,9670


  -32767,-12195,-2250


  -15264,-11107,6186


  -32768,-889,22200


  -32768,4217,27481


  30925,0,10451


  -23491,-6556,2770


  -30168,-10818,3352


  9425,-5452,12229


  -32768,13184,24405


  -32768,7392,16335


  10281,340,7808


  1084,2095,8091


  7491,3182,5743


  -18245,-1415,-816


  -31155,-7237,-3386


  -32768,7677,24055


  -32768,13610,20658


  2021,1328,3792


  -32767,-8236,-6665


  -2335,-4611,7968


  -32768,9148,22343


  -32768,11269,19033


  15881,1510,11223


  -32767,-11345,-10935


  -5444,-4541,3784


  -32768,12241,28898


  -32768,4750,14305


  14195,829,7390


  1308,1621,3026


  -32767,-6650,-4367


  -1948,-479,5887


  -32768,11304,22010


  30508,-162,13559


  -15929,-2356,3124


  -32767,-8853,-5959

